O:12001:[Lunar] Pleniluna
O:12002:[Lunar] Decrescent
O:12003:[Lunar] Noviluna
O:12004:[Reverb] Mark I
O:12005:[Reverb] Mark II
O:12006:[Reverb] Mark III
O:12007:[Vortex] Revolver
O:12008:[Vortex] Arrow
O:12009:[Vortex] Hatchet
O:12010:[Magnetic Storm] Alpha
O:12011:[Magnetic Storm] Bravo
O:12012:[Magnetic Storm] Charlie
O:12013:[Identity] Base
O:12014:[Identity] Inflection
O:13001:Street Superstar
O:13002:Slice of Time
X:13003:Rainforest Gourmet
O:13004:Starlight Engine
O:13005:Steam Oven
O:13006:Precious Fossilized Core
O:13007:Original Transmorpher
X:13008:Weeping Gemini
X:13009:Electro-Lip Gloss
O:13010:Bunny Band
O:13011:Spring Embrace
O:13013:Gilded Blossom
O:13015:Marcato Desire
O:13101:Demara Battery Mark II
O:13103:The Vault
O:13106:Housekeeper
O:13108:Starlight Engine Replica
O:13111:Drill Rig - Red Axis
O:13112:Big Cylinder
O:13113:Bashful Demon
O:13115:Kaboom the Cannon
O:13127:Peacekeeper - Specialized
O:13128:Roaring Ride
O:14001:Cannon Rotor
O:14002:Unfettered Game Ball
O:14003:Six Shooter
O:14102:Steel Cushion
O:14104:The Brimstone
O:14107:Tusks of Fury
X:14109:Hailstorm Shrine
O:14110:Hellfire Gears
O:14114:The Restrained
O:14116:Blazing Laurel
O:14117:Flamemaker Shaker
X:14118:Fusion Compiler
O:14119:Deep Sea Visitor
O:14120:Zanshin Herb Case
O:14121:Weeping Cradle
O:14122:Timeweaver
O:14124:Riot Suppressor Mark VI
O:14125:Ice-Jade Teapot
O:14126:Sharpened Stinger
O:14131:Elegant Vanity
O:14132:Heartstring Nocturne
